time_s,Status,Message
0.0,2,Yellow
263.616,1,AllClear
277.623,2,Yellow
281.932,1,AllClear
417.821,2,Yellow
458.85,1,AllClear
590.327,2,Yellow
712.805,1,AllClear
7962.315,2,Yellow
7977.105,4,SCDeployed
8657.036,1,AllClear
