series,circuit,circuit_canonical,car_class,year,race_laps,green_pace_s,net_slope_s,pit_loss_s,fuel_range_laps,min_stops,optimal_stops,fuel_limited,stint_pattern_matches_naive,breakeven_slope_s,slope_headroom_x,median_s,p10_s,p90_s,band_s,band_with_traffic_s,traffic_sd_s
imsa,long_beach,long_beach,GTDPRO,2023,73,79.7,0.0074,56.0,49,1,1,True,False,0.127,17.2,6226.0,5881.0,6760.0,879.0,877.0,0.1628
imsa,mosport,mosport,GTDPRO,2025,108,78.0,0.024,40.6,45,2,2,True,False,0.084,3.5,9056.0,8561.0,9716.0,1156.0,1156.0,0.0
imsa,road_america,road_america,GTDPRO,2025,62,128.0,0.0365,48.1,24,2,2,True,False,0.302,8.3,8351.0,8049.0,8895.0,846.0,846.0,0.2018
imsa,road_atlanta,road_atlanta,GTDPRO,2025,404,81.7,0.0136,67.7,51,7,7,True,False,0.064,4.7,35203.0,34446.0,36203.0,1757.0,1754.0,0.1688
imsa,sebring,sebring,GTDPRO,2026,321,122.6,0.0121,67.6,31,10,10,True,False,0.177,14.6,41505.0,40767.0,42481.0,1714.0,1713.0,0.0843
imsa,vir,vir,GTDPRO,2025,81,108.1,0.0638,6.0,30,2,5,False,False,0.064,1.0,9256.0,8822.0,9971.0,1149.0,1149.0,0.0
imsa,watkins_glen,watkins_glen,GTDPRO,2026,171,107.8,0.0161,25.7,37,4,4,True,False,0.056,3.5,19543.0,18887.0,20468.0,1581.0,1597.0,0.1065
wec,bahrain,bahrain,HYPERCAR,2025,236,114.4,0.0462,81.9,32,7,7,True,False,0.216,4.7,28105.0,27742.0,28902.0,1160.0,1152.0,0.1245
wec,cota,cota,HYPERCAR,2025,120,133.0,-0.2743,21.0,37,3,3,True,True,0.06,,15572.0,15415.0,15936.0,521.0,535.0,0.3055
wec,fuji,fuji,HYPERCAR,2025,202,92.8,0.0171,83.5,46,4,4,True,False,0.127,7.4,19442.0,19147.0,20190.0,1042.0,1042.0,0.042
wec,imola,imola,HYPERCAR,2026,212,94.3,0.0012,17.8,37,5,5,True,False,0.036,29.8,20504.0,20097.0,21375.0,1278.0,1276.0,0.0548
wec,interlagos,interlagos,HYPERCAR,2025,240,87.1,0.0018,76.3,43,5,5,True,False,0.112,62.4,21490.0,21313.0,21843.0,530.0,527.0,0.0645
wec,le_mans,le_mans,HYPERCAR,2026,379,210.0,-0.0442,69.8,13,29,29,True,True,0.895,,83013.0,81740.0,85345.0,3604.0,3628.0,0.1223
wec,losail,losail,HYPERCAR,2025,317,104.5,-0.024,78.2,36,8,8,True,True,0.145,,34068.0,33683.0,34809.0,1126.0,1126.0,0.0
wec,monza,monza,HYPERCAR,2022,180,99.1,-0.0131,73.9,30,5,5,True,True,0.195,,18448.0,18168.0,19024.0,856.0,856.0,0.0
wec,portimao,portimao,HYPERCAR,2023,219,95.1,0.0046,83.7,37,5,5,True,False,0.15,32.4,21500.0,21278.0,21972.0,694.0,694.0,0.0
wec,sebring,sebring,HYPERCAR,2023,235,111.2,-0.0095,91.1,31,7,7,True,True,0.24,,27134.0,26753.0,27918.0,1165.0,1161.0,0.0795
wec,spa,spa,HYPERCAR,2026,151,126.8,0.0251,72.1,27,5,5,True,False,0.27,10.8,19787.0,19547.0,20601.0,1054.0,1091.0,0.4813
