time_s,Status,Message
0.0,2,Yellow
301.74,1,AllClear
1503.549,2,Yellow
1629.237,1,AllClear
3410.933,2,Yellow
3417.115,1,AllClear
3462.93,2,Yellow
3468.129,1,AllClear
4323.24,2,Yellow
4348.768,4,SCDeployed
4814.594,1,AllClear
5239.813,2,Yellow
5272.83,1,AllClear
6223.243,2,Yellow
6229.956,1,AllClear
6755.42,2,Yellow
6767.281,1,AllClear
8676.284,2,Yellow
8678.414,1,AllClear
